system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,tile,.geo
5795,60.0,0.5,0.8660254,0.1013,0.009718415,0.09935,0.7407,0.74705,0.7546,0.009295793,0.7647,0.75395,0.74555,0.73335,0.7188,0.76137865,1.0186024,5272.0,0.1381144,1.0186285,0.76137865,0.75726354,-0.030940345,-0.014281394,0.9717106,7.3740573,1.0099713,0.13558188,0.1381144,0.97978306,0.13422552,1.0,-10.132071,-2.0595467,8.072524,30.497803895857754,93.73919989787207,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.73919989787207,30.497803895857754]}"
5796,93.0,-0.052335955,0.9986295,0.11495,0.018834477,0.1107,0.57055,0.558,0.5659,-0.004091689,0.5702,0.56265,0.55515,0.5477,0.53215,0.66373026,1.0374548,5151.0,0.20983936,0.99167615,0.66373026,0.65305966,-0.03451717,-0.01634339,0.9676678,4.943141,1.013976,0.20596667,0.20983936,0.96219033,0.20309187,3.0,-11.118196,-2.2045903,8.913606,30.497803895857754,93.82903142628402,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,30.497803895857754]}"
5797,175.0,-0.9961947,0.087155744,0.10985,0.32829505,0.05555,0.0261,0.0371,0.02865,0.04657534,0.0657,0.17505,0.2067,0.2242,0.2337,0.6028597,1.9739443,4694.0,0.4897459,1.0935115,0.6028597,0.34231403,0.56112224,0.77338344,7.7982607,4.028751,0.7701613,2.952957,0.4897459,0.50522965,3.8208697,4.0,-12.585616,-5.83035,6.7552667,30.497803895857754,94.00869448310792,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.00869448310792,30.497803895857754]}"
5798,202.0,-0.92718387,-0.37460658,0.1057,0.21076746,0.0689,0.0748,0.06515,0.05145,-0.1849505,0.0673,0.1115,0.12975,0.13085,0.1337,0.31013766,1.5318841,4295.0,0.8071783,0.6869159,0.31013766,0.106320016,0.33034825,0.4355458,2.5383124,1.8963768,0.78850573,1.6199234,0.8071783,0.6512287,2.0504365,3.0,-10.649057,-2.3886554,8.260403,30.497803895857754,94.09852601151988,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.09852601151988,30.497803895857754]}"
5799,238.0,-0.52991927,-0.8480481,0.10875,0.0154061625,0.10545,0.80345,0.8207,0.8355,0.019555204,0.8467,0.8333,0.81855,0.8071,0.7896,0.76888937,1.0303174,4990.0,0.13472497,1.0397611,0.76888937,0.7625157,-0.0348958,-0.017289663,0.9658928,7.646613,1.0179094,0.13249269,0.13472497,0.96876436,0.130146,4.0,-9.9254465,-1.2857164,8.63973,30.497803895857754,94.18835753993183,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.18835753993183,30.497803895857754]}"
5800,174.0,-0.9945219,0.104528464,0.09645,0.0357047,0.0898,0.69795,0.67785,0.6705,-0.02005919,0.67725,0.66375,0.6491,0.63465,0.6273,0.7520878,1.0728587,4571.0,0.15194958,0.9605329,0.7520878,0.736151,-0.038289066,-0.027468108,0.9463913,7.0595107,0.989011,0.14226712,0.15194958,0.93008804,0.14382643,4.0,-12.740187,-3.85135,8.888836,30.497803895857754,94.27818906834378,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.27818906834378,30.497803895857754]}"
5801,208.0,-0.88294756,-0.46947157,0.1394,0.17414193,0.09805,0.12875,0.1214,0.1192,-0.03851583,0.1362,0.1735,0.1864,0.18205,0.1888,0.2998929,1.4202751,5041.0,0.7653033,0.9251067,0.2998929,0.13268004,0.16184616,0.20863071,1.5259849,1.854814,0.98107,1.1473252,0.7653033,0.7028674,1.1684828,4.0,-11.806728,-3.4686725,8.338056,30.497803895857754,94.36802059675573,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.36802059675573,30.497803895857754]}"
5802,153.0,-0.8910065,0.4539905,0.0683,-0.050729673,0.0756,0.9917,0.9825,0.9697,-0.011216478,0.9736,0.95065,0.92045,0.90075,0.87195,0.8451375,0.9022457,4984.0,0.07581729,0.9777173,0.8451375,0.8590372,-0.055078432,-0.036862787,0.92879975,11.898943,0.98687154,0.06950946,0.07581729,1.1052631,0.07042689,2.0,-13.853975,-5.117898,8.736077,30.497803895857754,94.45785212516768,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.45785212516768,30.497803895857754]}"
5803,186.0,-0.9945219,-0.104528464,0.0699,-0.03152061,0.07445,0.71055,0.66365,0.6286,-0.061195534,0.62645,0.61025,0.60185,0.5812,0.5737,0.7728971,0.93762577,4877.0,0.12024772,0.88454235,0.7728971,0.7852864,-0.043952838,-0.03918003,0.9244473,7.79611,0.9470433,0.10531074,0.12024772,1.0635715,0.1111818,3.0,-8.970525,-2.9050403,6.0654845,30.497803895857754,94.54768365357964,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.54768365357964,30.497803895857754]}"
5804,106.0,-0.27563736,0.9612617,0.07775,-0.03923386,0.0841,0.97655,0.9775,0.98035,0.0019418468,0.98795,0.9688,0.9477,0.93865,0.9151,0.8355414,0.92339665,4723.0,0.082822904,1.0037885,0.8355414,0.84700906,-0.038280655,-0.021730067,0.9573665,11.147862,1.002813,0.079531506,0.082822904,1.0802826,0.07930032,2.0,-10.246122,-3.73222,6.5139027,30.497803895857754,94.72734671040354,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.72734671040354,30.497803895857754]}"
