system:index,Aspect,Aspect_Cos,Aspect_Sin,B11,B11_B12_NormDiff,B12,B2,B3,B4,B4_B2_NormDiff,B5,B6,B7,B8,B8A,B8_B12_NormDiff,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,zone_center_lat,zone_center_lon,zone_id,.geo
18821,19.0,0.9455185532569885,0.32556816935539246,0.2152000069618225,0.25027623772621155,0.13230000436306,0.05270000174641609,0.07509999722242355,0.07400000095367432,0.1476888656616211,0.11209999769926071,0.2304999977350235,0.2720000147819519,0.2775999903678894,0.29910001158714294,0.3434929847717285,1.6676491498947144,377.0,0.48865681886672974,1.3465609550476074,0.3434929847717285,0.11314724385738373,0.410981684923172,0.5584725737571716,3.5297298431396484,2.0464260578155518,1.004197359085083,2.7889058589935303,0.7967075109481812,0.5996465086936951,2.730851173400879,1.0,-13.44498348236084,-7.435657024383545,6.009326457977295,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.07327711697396,11.016910473001628]}"
18822,46.0,0.6946583986282349,0.7193397879600525,0.28060001134872437,0.08634288609027863,0.23749999701976776,0.12489999830722809,0.14669999480247498,0.1736000031232834,0.1577557921409607,0.20419999957084656,0.2433999925851822,0.257999986410141,0.24959999322891235,0.26750001311302185,0.03482777252793312,1.1890050172805786,416.0,0.9326887726783752,1.3746081590652466,0.03482777252793312,-0.049725815653800964,0.1435861736536026,0.18705806136131287,1.460200309753418,1.0721690654754639,1.1697417497634888,1.8732025623321533,1.1046557426452637,0.8410393595695496,1.6356146335601807,2.0,-11.872381210327148,-5.265000343322754,6.6073808670043945,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.97980442539159,11.024245277771206]}"
18823,339.0,0.9335803985595703,-0.3583679497241974,0.2777999937534332,0.22667890787124634,0.17880000174045563,0.06989999860525131,0.09290000051259995,0.09889999777078629,0.1378139853477478,0.16040000319480896,0.27790001034736633,0.32989999651908875,0.33649998903274536,0.36059999465942383,0.31107136607170105,1.5862478017807007,307.0,0.525469958782196,1.3196851015090942,0.31107136607170105,0.10857146233320236,0.3864637613296509,0.5398930311203003,3.3468151092529297,1.903058409690857,0.9946714043617249,2.880516767501831,0.8041236400604248,0.6304185390472412,2.8200201988220215,4.0,-14.244881629943848,-6.50612735748291,7.7387542724609375,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.05496503640126,10.802478105229529]}"
18824,333.0,0.8910065293312073,-0.45399048924446106,0.24410000443458557,0.03515299782156944,0.22849999368190765,0.15060000121593475,0.1632000058889389,0.18549999594688416,0.10410091280937195,0.2029000073671341,0.20190000534057617,0.21369999647140503,0.20640000700950623,0.2152000069618225,-0.046089403331279755,1.072867512702942,415.0,1.0966325998306274,1.2323943376541138,-0.046089403331279755,-0.08035165071487427,0.03493339940905571,0.05778241530060768,1.1226519346237183,0.9118824601173401,1.1191860437393188,1.4889893531799316,1.1747442483901978,0.9320815205574036,1.3196766376495361,1.0,-11.308149337768555,-4.944009780883789,6.364139080047607,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.96720225316831,10.995475620843072]}"
18825,172.0,-0.9902680516242981,0.13917310535907745,0.2872999906539917,0.06868552416563034,0.24719999730587006,0.10729999840259552,0.12729999423027039,0.15790000557899475,0.1997116059064865,0.18690000474452972,0.22200000286102295,0.23549999296665192,0.23180000483989716,0.24269999563694,-0.028571436181664467,1.1475023031234741,428.0,1.058823585510254,1.4990991353988647,-0.028571436181664467,-0.09979555010795593,0.1259908229112625,0.18639051914215088,1.4581817388534546,0.9444444179534912,1.2396694421768188,2.1983654499053955,1.2217174768447876,0.8714579343795776,1.8001224994659424,3.0,-13.01870346069336,-6.228745937347412,6.789957046508789,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.96125141916278,11.009959565946609]}"
18826,90.0,6.123234262925839E-17,1.0,0.14790000021457672,0.2871055603027344,0.0794999971985817,0.047600001096725464,0.059300001710653305,0.045899998396635056,0.01211070641875267,0.08590000122785568,0.18230000138282776,0.2290000021457672,0.22939999401569366,0.24449999630451202,0.48107048869132996,1.8054643869400024,379.0,0.35037460923194885,1.024518370628357,0.48107048869132996,0.2167205810546875,0.4735516309738159,0.6370629668235779,4.510597229003906,2.854088068008423,0.8147566914558411,2.3879055976867676,0.6437627673149109,0.5538740754127502,2.90592360496521,1.0,-14.338119506835938,-7.00513219833374,7.332987308502197,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.18407259701772,10.835369016370061]}"
18827,350.0,0.9848077297210693,-0.1736481785774231,0.39010000228881836,0.09760630130767822,0.3199000060558319,0.062449999153614044,0.09284999966621399,0.15600000321865082,0.41798141598701477,0.19464999437332153,0.2324499934911728,0.2561500072479248,0.25725001096725464,0.27489998936653137,-0.13597726821899414,1.2163300514221191,507.0,1.314756155014038,2.4363348484039307,-0.13597726821899414,-0.21274761855602264,0.14608578383922577,0.2183677703142166,1.5587502717971802,0.7605996131896973,1.6727484464645386,4.2462873458862305,1.540704369544983,0.822148323059082,2.475433588027954,3.0,-18.6003475189209,-10.909785270690918,7.690561771392822,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.85780111685534,10.922813923230516]}"
18828,116.0,-0.4383711516857147,0.8987940549850464,0.3095000088214874,0.0490247942507267,0.2840000092983246,0.16609999537467957,0.19300000369548798,0.22130000591278076,0.11458073556423187,0.2526000142097473,0.27399998903274536,0.28679999709129333,0.2754000127315521,0.2888999879360199,0.010182645171880722,1.1031042337417603,447.0,0.9798399806022644,1.2588169574737549,0.010182645171880722,-0.044386398047208786,0.06503108888864517,0.10680363327264786,1.2391493320465088,1.0205748081207275,1.114507794380188,1.5059549808502197,1.0928961038589478,0.9065326452255249,1.3809282779693604,1.0,-11.113876342773438,-4.233438491821289,6.880437850952148,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.94492662276069,11.023602306342374]}"
18829,180.0,-1.0,1.2246468525851679E-16,0.3646000027656555,0.13464254140853882,0.2754000127315521,0.07880000025033951,0.11410000175237656,0.16449999809265137,0.32341110706329346,0.2125999927520752,0.2549999952316284,0.28529998660087585,0.29750001430511475,0.3197000026702881,0.03866688534617424,1.3111835718154907,389.0,0.9255451560020447,1.9560047388076782,0.03866688534617424,-0.09691254049539566,0.20007507503032684,0.2771376371383667,1.7667784690856934,1.0804443359375,1.4286898374557495,3.104950428009033,1.2146248817443848,0.7626696825027466,2.186314105987549,0.0,-18.166439056396484,-12.12196159362793,6.044478893280029,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[77.15031653122455,10.989607151485039]}"
18830,314.0,0.6946583986282349,-0.7193397879600525,0.19669999182224274,0.2077840268611908,0.1316666603088379,0.05909999832510948,0.0720466673374176,0.0718500018119812,0.08334438502788544,0.11303749680519104,0.19742999970912933,0.22786666452884674,0.23197142779827118,0.25206249952316284,0.2646624445915222,1.52549147605896,246.0,0.5808765292167664,1.18184494972229,0.2646624445915222,0.06169089302420616,0.3902883231639862,0.5286613702774048,3.2406506538391113,1.7241864204406738,0.9610665440559387,2.696854829788208,0.8843136429786682,0.6555264592170715,2.7876856327056885,4.0,-14.63371753692627,-6.664327144622803,7.969390869140625,10.99104336032104,77.03025223303315,INDIA_ZONE_002,"{""type"":""Point"",""coordinates"":[76.91845263171616,10.8138861669518]}"
