longitude,latitude,age,supergroup,group_name,formation,lithologic,sub_group,intrusive,stratigraphy_new
80.1796653397416,23.48955841475452,PALAEOPROTEROZOIC,,,,,,,
80.16015413989163,23.329532779984522,PALAEOPROTEROZOIC,,,,,,,
79.32434078886075,23.141583102025315,PALAEOPROTEROZOIC,,,,,,,
79.99947425444168,23.166359193722087,TRIASSIC - EARLY CRETACEOUS,GONDWANA,,,,,,
86.42363368082486,22.432165427093906,PALAEOPROTEROZOIC,,,,,,,
73.6710098547619,22.49084721809524,PALAEOPROTEROZOIC,ARAVALLI,,,,,,
84.28694776243665,22.158433044567808,PALAEOPROTEROZOIC,,,,,,,
83.9718653052347,22.433348341676446,PALAEOPROTEROZOIC,,,,,,,
74.00054583171108,23.204445290005328,PALAEOPROTEROZOIC,ARAVALLI,,,,,,
86.52937525574008,22.092700336101082,ARCHAEAN,,,,,,,
80.15875797439156,21.891083523753206,PALAEOPROTEROZOIC,,,,,,,
80.58772268046339,21.934452359790733,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
79.83786331148019,20.987744628805068,PALAEOPROTEROZOIC,,,,,,,
76.53499306177777,27.834930856444444,PALAEOPROTEROZOIC - MESOPROTEROZOIC,DELHI,,,,,,
75.0584424951282,27.200338933846158,PALAEOPROTEROZOIC - MESOPROTEROZOIC,DELHI,,,,,,
74.689952680625,26.859034231458335,PALAEOPROTEROZOIC - MESOPROTEROZOIC,DELHI,,,,,,
74.72993182194445,26.81614609388889,PALAEOPROTEROZOIC - MESOPROTEROZOIC,DELHI,,,,,,
78.812141312,24.28127725705618,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
73.01187106860081,24.092368325020576,PALAEOPROTEROZOIC - MESOPROTEROZOIC,DELHI,,,,,,
85.68161680040588,22.33748440295337,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
76.27865200373738,22.47966769141414,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
76.79429239414634,22.429308720243903,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
76.95235962675117,22.318989683276996,PALAEOPROTEROZOIC - MESOPROTEROZOIC,,,,,,,
